epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33974,4.81415,6.29693,4.17553,0,0,0,0,5.40136,4.86876,4.15956,0,0,0
2,9.48488,5.38416,6.23454,4.31674,0,0,0,0,5.40136,4.86876,4.16003,1.99802e-05,1.99802e-05,1.99802e-05
3,10.3051,4.88729,6.16199,4.25031,0,0,0,0,5.40136,4.86876,4.16044,3.99208e-05,3.99208e-05,3.99208e-05
4,11.0358,5.73094,6.95768,4.18435,0,0,0,0,5.40136,4.86876,4.16106,5.98218e-05,5.98218e-05,5.98218e-05
5,11.8157,3.83747,6.53986,4.20772,0,0,0,0,5.40136,4.86876,4.16126,7.96832e-05,7.96832e-05,7.96832e-05
6,12.6516,4.40729,5.58504,4.27389,0,0,0,0,5.40367,4.8744,4.16218,9.9505e-05,9.9505e-05,9.9505e-05
7,13.5183,4.87812,6.20206,4.2041,0,0,0,0,5.40367,4.8744,4.16236,0.000119287,0.000119287,0.000119287
8,14.3602,3.96269,6.40242,4.20177,0,0,0,0,5.40596,4.87209,4.16171,0.00013903,0.00013903,0.00013903
9,15.1821,5.25694,6.91863,4.23617,0,0,0,0,5.40367,4.8744,4.16154,0.000158733,0.000158733,0.000158733
10,16.0018,5.21567,8.06625,4.1583,0,0,0,0,5.40596,4.87209,4.16137,0.000178396,0.000178396,0.000178396
11,16.8312,4.79385,6.62618,4.3469,0,0,0,0,5.40366,4.87231,4.16106,0.00019802,0.00019802,0.00019802
12,17.6545,4.55497,5.99449,4.14365,0,0,0,0,5.39902,4.87051,4.15989,0.000217604,0.000217604,0.000217604
13,18.4791,4.62017,5.7757,4.17476,0,0,0,0,5.39902,4.87051,4.15961,0.000237149,0.000237149,0.000237149
14,19.3241,5.37881,7.62119,4.27751,0,0,0,0,5.39902,4.87051,4.15872,0.000256654,0.000256654,0.000256654
15,20.1396,4.04851,6.97745,4.16752,0,0,0,0,5.39902,4.87051,4.15641,0.000276119,0.000276119,0.000276119
16,20.9816,5.04016,7.16252,4.13145,0,0,0,0,5.39675,4.86764,4.15508,0.000295545,0.000295545,0.000295545
17,21.8599,3.1295,5.71261,4.16294,0,0,0,0,5.39675,4.86764,4.15332,0.000314931,0.000314931,0.000314931
18,22.6589,4.10005,5.99056,4.1904,0,0,0,0,5.39675,4.86764,4.15332,0.000334278,0.000334278,0.000334278
19,23.4785,3.75805,6.16031,4.17531,0,0,0,0,5.3907,4.86422,4.15114,0.000353585,0.000353585,0.000353585
20,24.2774,5.82919,6.96901,4.13192,0,0,0,0,5.3907,4.86422,4.15114,0.000372852,0.000372852,0.000372852
21,25.1035,5.12007,6.64208,4.11308,0,0,0,0,5.3907,4.86422,4.14872,0.00039208,0.00039208,0.00039208
22,25.9029,5.43286,7.28855,3.9503,0,0,0,0,5.3907,4.86422,4.14872,0.000411268,0.000411268,0.000411268
23,26.7485,4.14187,5.45086,4.12286,0,0,0,0,5.3907,4.86422,4.14622,0.000430417,0.000430417,0.000430417
24,27.5599,4.26594,7.19572,4.06838,0,0,0,0,5.3907,4.86422,4.14622,0.000449526,0.000449526,0.000449526
25,28.4158,4.67308,6.16149,4.1078,0,0,0,0,5.39065,4.86436,4.14298,0.000468595,0.000468595,0.000468595
26,29.22,4.76737,6.79136,4.24195,0,0,0,0,5.39065,4.86436,4.14298,0.000487625,0.000487625,0.000487625
27,30.0381,4.02599,6.26078,3.88122,0,0,0,0,5.39065,4.86436,4.14159,0.000506615,0.000506615,0.000506615
28,30.8393,5.23247,7.22764,3.9868,0,0,0,0,5.39065,4.86436,4.14159,0.000525566,0.000525566,0.000525566
