epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33822,4.96429,8.31312,4.22115,0,0,0,0,4.79742,6.24531,4.15778,8e-05,8e-05,8e-05
2,6.60814,5.1583,8.26935,4.2153,0,0,0,0,4.79742,6.24531,4.15614,0.000178218,0.000178218,0.000178218
3,7.93198,4.98182,8.22475,4.16191,0,0,0,0,4.79164,6.23818,4.15225,0.000274456,0.000274456,0.000274456
4,9.18799,5.27825,8.45609,4.14259,0,0,0,0,4.78195,6.2211,4.14773,0.000368714,0.000368714,0.000368714
5,10.564,4.95519,7.07858,4.09227,0,0,0,0,4.78122,6.20749,4.14082,0.000460992,0.000460992,0.000460992
6,11.8296,5.01849,7.23757,3.98363,0,0,0,0,4.7886,6.20207,4.13542,0.00055129,0.00055129,0.00055129
7,13.0968,4.73719,6.90481,3.88228,0,0,0,0,4.79568,6.19453,4.13137,0.000639608,0.000639608,0.000639608
8,14.3363,4.26583,6.48984,3.82477,0,0,0,0,4.8168,6.18946,4.13083,0.000725946,0.000725946,0.000725946
9,15.5867,3.93993,6.43293,3.72331,0,0,0,0,4.88742,6.28113,4.1575,0.000810304,0.000810304,0.000810304
10,16.8159,3.58346,6.42022,3.55716,0,0,0,0,4.95111,6.39939,4.19802,0.000892682,0.000892682,0.000892682
11,18.0599,3.50896,6.24131,3.4168,0,0,0,0,4.99389,6.48415,4.22878,0.00097308,0.00097308,0.00097308
12,19.293,3.54968,5.59131,3.32339,0,0,0,0,5.02099,6.52831,4.27362,0.0010515,0.0010515,0.0010515
13,20.5032,3.17861,5.51137,3.22607,0,0,0,0,5.01374,6.6009,4.31427,0.00112794,0.00112794,0.00112794
14,21.7429,3.14115,5.61248,3.17868,0,0,0,0,4.9331,6.31576,4.16675,0.00120239,0.00120239,0.00120239
15,22.9649,2.9493,5.09465,3.04222,0,0,0,0,5.13029,6.91176,4.47581,0.00127487,0.00127487,0.00127487
16,24.1673,3.05939,5.03193,2.81083,0,0,0,0,5.15794,6.9844,4.60313,0.00134537,0.00134537,0.00134537
17,25.4062,2.76505,4.67648,2.80327,0,0,0,0,5.17062,6.70015,4.59079,0.00141389,0.00141389,0.00141389
18,26.6151,2.97306,4.9508,2.77465,0,0,0,0,5.15073,6.51116,4.45828,0.00148043,0.00148043,0.00148043
