epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.94595,4.81415,6.29693,4.17553,0,0,0,0,5.40136,4.86876,4.15956,0,0,0
2,8.61289,5.38416,6.23454,4.31674,0,0,0,0,5.40136,4.86876,4.16003,1.9802e-05,1.9802e-05,1.9802e-05
3,9.09468,4.88729,6.16199,4.25031,0,0,0,0,5.40136,4.86876,4.16044,3.9208e-05,3.9208e-05,3.9208e-05
4,9.5254,5.73094,6.95768,4.18435,0,0,0,0,5.40136,4.86876,4.16106,5.8218e-05,5.8218e-05,5.8218e-05
5,9.992,3.83747,6.53986,4.20772,0,0,0,0,5.40136,4.86876,4.16126,7.6832e-05,7.6832e-05,7.6832e-05
6,10.5465,4.41722,5.60473,4.26901,0,0,0,0,5.40367,4.8744,4.16218,9.505e-05,9.505e-05,9.505e-05
7,11.1275,4.87759,6.20907,4.20666,0,0,0,0,5.40367,4.8744,4.16236,0.000112872,0.000112872,0.000112872
8,11.6897,3.97296,6.41451,4.20326,0,0,0,0,5.40596,4.87209,4.16171,0.000130298,0.000130298,0.000130298
9,12.2641,5.3195,7.0448,4.21937,0,0,0,0,5.40596,4.87209,4.16202,0.000147328,0.000147328,0.000147328
10,12.8221,5.19426,7.91509,4.16322,0,0,0,0,5.40596,4.87209,4.16157,0.000163962,0.000163962,0.000163962
11,13.3771,4.73813,6.54146,4.37504,0,0,0,0,5.39902,4.87051,4.16099,0.0001802,0.0001802,0.0001802
12,13.9298,4.53812,6.04789,4.15764,0,0,0,0,5.39902,4.87051,4.15976,0.000196042,0.000196042,0.000196042
13,14.4917,4.70084,5.67906,4.27068,0,0,0,0,5.39902,4.87051,4.1598,0.000211488,0.000211488,0.000211488
14,15.0557,5.35182,7.37725,4.17513,0,0,0,0,5.39902,4.87051,4.15866,0.000226538,0.000226538,0.000226538
15,15.6077,4.034,6.82127,4.1402,0,0,0,0,5.39902,4.87051,4.15801,0.000241192,0.000241192,0.000241192
16,16.1529,5.11554,7.18263,4.16338,0,0,0,0,5.39902,4.87051,4.15713,0.00025545,0.00025545,0.00025545
17,16.7049,3.05155,5.70826,4.18459,0,0,0,0,5.39902,4.87051,4.15628,0.000269312,0.000269312,0.000269312
18,17.245,4.14909,5.88138,4.18794,0,0,0,0,5.39902,4.87051,4.15628,0.000282778,0.000282778,0.000282778
19,17.7989,3.68333,6.11326,4.15403,0,0,0,0,5.39902,4.87051,4.15498,0.000295848,0.000295848,0.000295848
20,18.335,5.81247,6.83439,4.07404,0,0,0,0,5.39902,4.87051,4.15498,0.000308522,0.000308522,0.000308522
21,18.8835,5.24337,6.783,4.10688,0,0,0,0,5.39902,4.87051,4.15375,0.0003208,0.0003208,0.0003208
22,19.4039,5.54499,7.37459,4.02299,0,0,0,0,5.39902,4.87051,4.15375,0.000332682,0.000332682,0.000332682
23,19.9524,4.1766,5.52783,4.14577,0,0,0,0,5.39668,4.86452,4.15215,0.000344168,0.000344168,0.000344168
24,20.4776,4.27913,7.15038,4.14327,0,0,0,0,5.39668,4.86452,4.15215,0.000355258,0.000355258,0.000355258
25,21.0246,4.59427,6.30216,4.08536,0,0,0,0,5.393,4.86744,4.15179,0.000365952,0.000365952,0.000365952
26,21.5408,4.93848,7.81365,4.04188,0,0,0,0,5.393,4.86744,4.15179,0.00037625,0.00037625,0.00037625
27,22.0897,4.18455,6.46284,4.02314,0,0,0,0,5.39409,4.8674,4.15058,0.000386152,0.000386152,0.000386152
28,22.6089,5.40612,7.01504,4.03948,0,0,0,0,5.39409,4.8674,4.15058,0.000395658,0.000395658,0.000395658
29,23.1398,4.26564,6.77434,4.00296,0,0,0,0,5.39409,4.8674,4.14989,0.000404768,0.000404768,0.000404768
30,23.6644,3.21894,5.17885,4.14491,0,0,0,0,5.39409,4.8674,4.14989,0.000413482,0.000413482,0.000413482
